year,month,crime,count
2006,1,ACCOSTING,25
2006,1,ADMCODE,81
2006,1,AGGRAVATED CRIMINAL CONTEMPT,1
2006,1,AGGRAVATED HARASSMENT,2970
2006,1,AGGRAVATED SEXUAL ASBUSE,45
2006,1,AGRICULTURE  MARKETS LAW,1
2006,1,ALCOHOLIC BEVERAGE CONTROL LAW,7
2006,1,APPEARANCE TICKET FAIL TO RESP,1
2006,1,ARSON,175
2006,1,ASSAULT,4739
2006,1,ASSEMBLY,6
2006,1,BAIL JUMPING,5
2006,1,BRIBERY,52
2006,1,BURGLARS TOOLS,11
2006,1,BURGLARY,2067
2006,1,CHECK,7
2006,1,CHILD,127
2006,1,CHILD ABANDONMENT,2
2006,1,CIGARETTE,7
2006,1,COERCION,13
2006,1,COMPUTER TAMPERTRESSPASS,3
2006,1,CONSPIRACY,1
2006,1,CONTEMPT,133
2006,1,CONTROLLED SUBSTANCE,1638
2006,1,COURSE OF SEXUAL CONDUCT AGAIN,1
2006,1,CREDIT CARD,1
2006,1,CRIMINAL CONTEMPT,368
2006,1,CRIMINAL DISPOSAL FIREARM,10
2006,1,CRIMINAL MISCHIEF,1543
2006,1,CRIMINAL MISCHIEF TH,307
2006,1,CUSTODIAL INTERFERENCE,18
2006,1,DRUG PARAPHERNALIA,7
2006,1,EAVESDROPPING,3
2006,1,EDUCATION LAW,2
2006,1,ESCAPE,2
2006,1,FACILITATION,1
2006,1,FALSE ALARM FIRE,1
2006,1,FALSE REPORT,6
2006,1,FALSE REPORT BOMB,7
2006,1,FALSE REPORT UNCLASSIFIED,61
2006,1,FIREWORKS,2
2006,1,FORGERY,762
2006,1,FORGERY-ILLEGAL POSSESSION,5
2006,1,FRAUD,595
2006,1,GAMBLING,14
2006,1,GENERAL BUSINESS LAW,3
2006,1,GRAND LARCENY-CHECK FROM MAILB,5
2006,1,HARASSMENT,5751
2006,1,HEALTH CODE,1
2006,1,IMITATION PISTOLAIR RIFLE,2
2006,1,IMPAIRED DRIVING,5
2006,1,IMPERSONATION,112
2006,1,IMPRISONMENT,22
2006,1,INTOXICATED DRIVING,642
2006,1,JOSTLING,1
2006,1,KIDNAPPING,10
2006,1,LARCENY,11978
2006,1,LEAVING SCENE-ACCIDENT-PERSONA,320
2006,1,LEWDNESS,64
2006,1,LOITERING,1
2006,1,LOITERING TO PROMOTE PROSTITUT,1
2006,1,MANUFACTURE UNAUTHORIZED RECOR,6
2006,1,MARIJUANA,1317
2006,1,MATERIAL              OFFENSIV,1
